purpose_text,transaction_type
spca,Charity & Donations
senior center  australia center,Charity & Donations
police department ,Government & Legal
marta,Transportation
fifth third  usa,Financial Services
comerica business district,Financial Services
hawaiian airlines,Transportation
mta,Transportation
hulu  store,Entertainment & Recreation
consolidated communications  morning,Utilities & Services
urologist,Healthcare & Medical
county clerk ,Government & Legal
regions bank australia,Financial Services
mr. sub ,Food & Dining
train store txn,Transportation
internet provider  weekend,Utilities & Services
pharmacy,Healthcare & Medical
satellite internet business district,Utilities & Services
whataburger business district,Food & Dining
nyu langone ,Healthcare & Medical
office depot ,Shopping & Retail
sixt  hospital,Transportation
escape room,Entertainment & Recreation
municipal building morning,Government & Legal
deposit 7278 australia,Income
stock usa,Financial Services
wage 9643,Income
fire department,Government & Legal
bbt store downtown,Financial Services
fair,Entertainment & Recreation
pediatrician  store txn,Healthcare & Medical
macys ,Shopping & Retail
panda express,Food & Dining
animal shelter store,Charity & Donations
mri australia airport,Healthcare & Medical
taxi uk,Transportation
convention center  uk,Entertainment & Recreation
pediatrician  uk,Healthcare & Medical
aspca usa branch night,Charity & Donations
mayo clinic  canada,Healthcare & Medical
wifi hotspot,Utilities & Services
target  holiday,Shopping & Retail
zara ,Shopping & Retail
salary residential,Income
cvs  morning,Shopping & Retail
jetblue  australia,Transportation
cia rush hour,Government & Legal
dillards,Shopping & Retail
xfinity,Utilities & Services
toll,Transportation
atf,Government & Legal
jersey mikes business district,Food & Dining
nature conservancy,Charity & Donations
secret service ,Government & Legal
mayo clinic store txn,Healthcare & Medical
clinic usa shopping center,Healthcare & Medical
peter pan,Transportation
crunch fitness,Entertainment & Recreation
bojangles branch shopping center,Food & Dining
united ,Transportation
retirement ,Financial Services
tennis court  txn,Entertainment & Recreation
licensing center evening,Income
verizon branch,Utilities & Services
sick pay,Income
disability 5021,Income
cable one uk,Utilities & Services
cable company,Utilities & Services
consolidated communications  branch,Utilities & Services
suddenlink india,Utilities & Services
amnesty international ,Charity & Donations
dairy queen ,Food & Dining
income 8343 night,Income
hospital  campus,Healthcare & Medical
sephora usa afternoon,Shopping & Retail
orthopedist ,Healthcare & Medical
pnc bank  store,Financial Services
unicef ,Charity & Donations
crossfit,Entertainment & Recreation
walmart ,Shopping & Retail
tmobile  store,Utilities & Services
anytime fitness,Entertainment & Recreation
gym  branch morning,Entertainment & Recreation
lord taylor  store,Shopping & Retail
 hour fitness,Entertainment & Recreation
gofundme ,Charity & Donations
neurologist canada branch txn,Healthcare & Medical
paintball,Entertainment & Recreation
ucsf medical ,Healthcare & Medical
tax,Government & Legal
pnc bank ,Financial Services
mutual fund india weekend,Financial Services
zipcar india,Transportation
golds gym,Entertainment & Recreation
bookkeeping ,Financial Services
pizza hut txn,Food & Dining
jersey mikes store txn,Food & Dining
transfer txn,Financial Services
gas company,Utilities & Services
nsa india store campus,Government & Legal
yoga studio  india branch,Entertainment & Recreation
mayo clinic ,Healthcare & Medical
wealth management center,Financial Services
hertz india,Transportation
cox canada weekday,Utilities & Services
offering center,Charity & Donations
southwest airlines india,Transportation
firehouse subs store rush hour,Food & Dining
suntrust uk,Financial Services
cleveland clinic evening,Healthcare & Medical
netflix store,Entertainment & Recreation
federal building,Government & Legal
physical therapy,Healthcare & Medical
commission,Income
nature conservancy,Charity & Donations
occupational therapy,Healthcare & Medical
urologist txn,Healthcare & Medical
church,Charity & Donations
suntrust usa center,Financial Services
police department,Government & Legal
nordstrom rack,Shopping & Retail
ucsf medical,Healthcare & Medical
license ,Government & Legal
paintball store lunch time,Entertainment & Recreation
payroll store,Income
vacation pay,Income
gofundme night,Charity & Donations
atm  txn,Financial Services
maternity leave center,Income
stanford health,Healthcare & Medical
cvs australia,Healthcare & Medical
uniqlo branch txn,Shopping & Retail
mbta,Transportation
marshalls,Shopping & Retail
brokerage ,Financial Services
ulta  txn,Shopping & Retail
bergdorf goodman australia afternoon,Shopping & Retail
cinemark txn,Entertainment & Recreation
sick pay branch,Income
apple store,Shopping & Retail
toll,Transportation
sixt txn,Transportation
belk,Shopping & Retail
atlantic broadband afternoon,Utilities & Services
visa store,Government & Legal
mosque usa,Charity & Donations
post office downtown,Government & Legal
salvation army,Charity & Donations
homeless shelter center txn,Charity & Donations
hulu,Entertainment & Recreation
crossfit ,Entertainment & Recreation
macys  store,Shopping & Retail
canes  evening,Food & Dining
blimpie ,Food & Dining
city hall ,Government & Legal
bbt store mall,Financial Services
safeway,Food & Dining
dollar general  usa,Shopping & Retail
credit,Income
amc store,Entertainment & Recreation
moes southwest grill australia txn,Food & Dining
disney+,Entertainment & Recreation
customs usa store center txn,Government & Legal
charter  txn,Utilities & Services
hsbc india,Financial Services
deposit india,Income
peter pan,Transportation
costco ,Shopping & Retail
fbi,Government & Legal
wealth management,Financial Services
permit rush hour,Government & Legal
dea store rush hour,Government & Legal
adidas,Shopping & Retail
mutual fund campus,Financial Services
mr. sub,Food & Dining
youtube,Entertainment & Recreation
centurylink,Utilities & Services
apple store,Shopping & Retail
alaska airlines store branch,Transportation
planet fitness  branch,Entertainment & Recreation
temple,Charity & Donations
youth organization usa,Charity & Donations
huntington bank store lunch time,Financial Services
us bank canada,Financial Services
dea,Government & Legal
jimmy johns canada store,Food & Dining
swimming pool evening,Entertainment & Recreation
cvs,Healthcare & Medical
congress  india station,Government & Legal
target  usa,Shopping & Retail
bookkeeping ,Financial Services
county clerk station,Government & Legal
dart,Transportation
fitness,Entertainment & Recreation
world vision center,Charity & Donations
spirit store,Transportation
disney+ ,Entertainment & Recreation
family dollar  shopping center,Shopping & Retail
primary care  canada,Healthcare & Medical
viasat ,Utilities & Services
emergency room  australia,Healthcare & Medical
equinox ,Entertainment & Recreation
doctors without borders store,Charity & Donations
royalty 3582 branch shopping center,Income
arbys store airport,Food & Dining
directv,Utilities & Services
wwf,Charity & Donations
hughesnet,Utilities & Services
baja fresh  center,Food & Dining
salary,Income
big lots  txn,Shopping & Retail
dsl branch residential,Utilities & Services
religious organization morning,Charity & Donations
comcast  center,Utilities & Services
dmv center holiday,Government & Legal
lab center,Healthcare & Medical
atf ,Government & Legal
rite aid store,Healthcare & Medical
overtime 6714,Income
emergency services  uk,Government & Legal
refund evening,Income
ambulance india,Government & Legal
service branch,Government & Legal
social security branch business district,Government & Legal
centurylink store,Utilities & Services
neiman marcus ,Shopping & Retail
hawaiian airlines,Transportation
red cross ,Charity & Donations
clinic australia campus,Healthcare & Medical
walmart  india,Shopping & Retail
income hospital,Income
loan  uk,Financial Services
aspca residential,Charity & Donations
dsl ,Utilities & Services
tax preparation canada rush hour,Financial Services
passport uk,Government & Legal
att txn,Utilities & Services
chase afternoon,Financial Services
cable company ,Utilities & Services
crunch fitness  weekday,Entertainment & Recreation
bank of america store,Financial Services
highway patrol station,Government & Legal
zara ,Shopping & Retail
cia holiday,Government & Legal
dillards  usa store txn,Shopping & Retail
jersey mikes store dinner time,Food & Dining
olive garden dinner time,Food & Dining
donation canada store,Charity & Donations
kaiser permanente,Healthcare & Medical
culvers ,Food & Dining
fiber india branch,Utilities & Services
salary india,Income
marshals ,Government & Legal
dominos  txn,Food & Dining
septa,Transportation
frontier store,Utilities & Services
franchise,Income
deposit 2021 shopping center,Income
sheriff,Government & Legal
local food bank  india,Charity & Donations
amazon prime  txn,Entertainment & Recreation
tax  residential,Government & Legal
tsa,Government & Legal
pension 4238,Income
wealth management,Financial Services
laser tag,Entertainment & Recreation
panera bread ,Food & Dining
annuity store business district,Income
registration,Government & Legal
att usa strip mall,Utilities & Services
flixbus,Transportation
gofundme ,Charity & Donations
disability 6889 branch,Income
side hustle canada,Income
optimum,Utilities & Services
tim hortons morning,Food & Dining
raising canes,Food & Dining
internet provider,Utilities & Services
disability 8787 business district,Income
hospital txn,Healthcare & Medical
gig work 6234 center,Income
physical therapy,Healthcare & Medical
peter pan,Transportation
amtrak,Transportation
jack in the box,Food & Dining
staples store,Shopping & Retail
dominos,Food & Dining
stock txn,Financial Services
atm ,Financial Services
nature conservancy ,Charity & Donations
wow store center txn,Utilities & Services
state police ,Government & Legal
mosque  store,Charity & Donations
aspca dinner time,Charity & Donations
dunkin donuts ,Food & Dining
hardees usa,Food & Dining
amazon mall,Shopping & Retail
neurologist,Healthcare & Medical
amtrak ,Transportation
metro branch morning,Transportation
cable one station,Utilities & Services
cable internet,Utilities & Services
capitol australia store,Government & Legal
belk  australia,Shopping & Retail
greyhound,Transportation
dunkin donuts,Food & Dining
electric company business district,Utilities & Services
reimbursement 1259 india,Income
pnc bank store,Financial Services
barnes noble,Shopping & Retail
comcast  txn,Utilities & Services
gas company,Utilities & Services
adidas,Shopping & Retail
chipotle ,Food & Dining
cia usa txn,Government & Legal
paramedic ,Government & Legal
contract work uk center weekday,Income
zaxbys,Food & Dining
ski resort,Entertainment & Recreation
amazon,Shopping & Retail
orthopedist strip mall,Healthcare & Medical
kaiser permanente store,Healthcare & Medical
chickfila txn,Food & Dining
pilates holiday,Entertainment & Recreation
cinemark downtown,Entertainment & Recreation
museum ,Entertainment & Recreation
police department india,Government & Legal
youtube,Entertainment & Recreation
ikea ,Shopping & Retail
senate,Government & Legal
dart branch,Transportation
blood test,Healthcare & Medical
ucsf medical australia,Healthcare & Medical
flixbus,Transportation
dividend,Income
court ,Government & Legal
cold stone creamery ,Food & Dining
commission 5187,Income
side hustle store,Income
comcast ,Utilities & Services
cable one downtown,Utilities & Services
td bank,Financial Services
oxfam,Charity & Donations
centurylink,Utilities & Services
ulta,Shopping & Retail
surgery,Healthcare & Medical
fire department,Government & Legal
senior center  australia,Charity & Donations
family dollar canada dinner time,Shopping & Retail
xray,Healthcare & Medical
cardiologist ,Healthcare & Medical
charity  india store,Charity & Donations
wow  usa,Utilities & Services
golf course usa,Entertainment & Recreation
direct deposit canada,Income
mri ,Healthcare & Medical
train rush hour,Transportation
retirement planning india airport,Financial Services
oxfam,Charity & Donations
pediatrician branch,Healthcare & Medical
fifth third ,Financial Services
bonus,Income
comcast branch station,Utilities & Services
municipal building weekend,Government & Legal
big lots ,Shopping & Retail
consolidated communications ,Utilities & Services
neurologist store,Healthcare & Medical
att australia,Utilities & Services
suntrust  australia store,Financial Services
satellite internet  canada branch,Utilities & Services
hospital residential,Healthcare & Medical
freelance,Income
bp store,Transportation
royalty,Income
verizon  usa,Utilities & Services
marshals australia,Government & Legal
mobile hotspot store station,Utilities & Services
vacation pay india,Income
passport  store,Government & Legal
retirement,Financial Services
comerica,Financial Services
service station,Government & Legal
raising canes  store branch,Food & Dining
overtime,Income
baskinrobbins,Food & Dining
anytime fitness,Entertainment & Recreation
bp,Transportation
irs afternoon,Government & Legal
cox,Utilities & Services
first national store afternoon,Financial Services
mosque ,Charity & Donations
regions bank,Financial Services
mediacom holiday,Utilities & Services
saks fifth avenue,Shopping & Retail
taxi  store,Transportation
safeway pharmacy,Healthcare & Medical
reward center,Income
internet provider,Utilities & Services
popeyes  dinner time,Food & Dining
religious organization uk,Charity & Donations
mortgage,Financial Services
hertz,Transportation
business wifi  weekend,Utilities & Services
temple txn,Charity & Donations
loan canada,Financial Services
maternity leave uk store campus,Income
ambulance,Government & Legal
salvation army store,Charity & Donations
trader joes australia,Food & Dining
budget,Transportation
city hall  txn,Government & Legal
saks off th ,Shopping & Retail
national parks,Charity & Donations
frontier strip mall,Utilities & Services
sheriff,Government & Legal
police department ,Government & Legal
local food bank  mall,Charity & Donations
huntington bank  branch,Financial Services
arcade,Entertainment & Recreation
income 5250 india,Income
amc  branch,Entertainment & Recreation
financial advisor center campus,Financial Services
zara,Shopping & Retail
golds gym store night,Entertainment & Recreation
fundraising,Charity & Donations
investment bank,Financial Services
goodwill  store,Charity & Donations
charter ,Utilities & Services
police department  usa,Government & Legal
bowling alley holiday,Entertainment & Recreation
municipal building ,Government & Legal
chipotle,Food & Dining
disability store,Income
police department ,Government & Legal
mobile,Utilities & Services
freelance 8147 canada txn692525,Income
credit union ,Financial Services
financial advisor store business district,Financial Services
allegiant  uk,Transportation
side hustle uk store,Income
pension 7426 store,Income
ikea uk,Shopping & Retail
veterans organization  weekday,Charity & Donations
concert canada,Entertainment & Recreation
adidas txn,Shopping & Retail
brokerage uk,Financial Services
potbelly ,Food & Dining
bonus store,Income
escape room ,Entertainment & Recreation
notary morning,Government & Legal
rock climbing,Entertainment & Recreation
immigration ,Government & Legal
tj maxx afternoon,Shopping & Retail
mortgage,Financial Services
cardiologist,Healthcare & Medical
barnes noble,Shopping & Retail
cable one,Utilities & Services
raising canes,Food & Dining
accounting,Financial Services
red cross,Charity & Donations
canes,Food & Dining
big lots,Shopping & Retail
cedarssinai weekday,Healthcare & Medical
consulting,Income
atlantic broadband,Utilities & Services
nature conservancy center,Charity & Donations
post office,Shopping & Retail
tax preparation,Financial Services
holiday pay 3216 weekday,Income
tmobile holiday,Utilities & Services
ulta holiday,Shopping & Retail
suddenlink australia,Utilities & Services
tj maxx,Shopping & Retail
contract work uk store,Income
popeyes branch residential,Food & Dining
police department store,Government & Legal
cta india,Transportation
shake shack,Food & Dining
mta store,Transportation
citibank hospital,Financial Services
local food bank morning,Charity & Donations
post office  morning,Government & Legal
gas company,Utilities & Services
nsa store,Government & Legal
taco bell  store business district,Food & Dining
dollar tree  center,Shopping & Retail
maternity leave center,Income
overtime 2557 store,Income
nature conservancy india,Charity & Donations
macys store business district,Shopping & Retail
bookkeeping business district,Financial Services
ambulance india,Government & Legal
commission store branch txn626587,Income
uniqlo  branch,Shopping & Retail
primary care  dinner time,Healthcare & Medical
surgery business district,Healthcare & Medical
moes southwest grill ,Food & Dining
toll ,Transportation
dish,Utilities & Services
fiber  usa,Utilities & Services
clinic,Healthcare & Medical
police department store weekend,Government & Legal
verizon campus,Utilities & Services
neurologist india lunch time,Healthcare & Medical
wow  uk,Utilities & Services
mri india,Healthcare & Medical
veterans organization,Charity & Donations
oxfam  hospital,Charity & Donations
rite aid  uk,Healthcare & Medical
hughesnet uk branch,Utilities & Services
frontier ,Utilities & Services
innout  center txn,Food & Dining
best buy  weekday,Shopping & Retail
national parks,Charity & Donations
theater  canada,Entertainment & Recreation
rite aid,Shopping & Retail
licensing 4309,Income
consolidated communications,Utilities & Services
annuity 4350 strip mall,Income
jersey mikes store,Food & Dining
macys,Shopping & Retail
bookkeeping lunch time,Financial Services
overtime night,Income
orange theory,Entertainment & Recreation
firehouse subs branch txn,Food & Dining
allegiant store,Transportation
directv store,Utilities & Services
retirement planning  shopping center,Financial Services
panera bread ,Food & Dining
cia india,Government & Legal
innout txn,Food & Dining
united,Transportation
dollar  india evening,Transportation
kaiser permanente uk,Healthcare & Medical
ross hospital,Shopping & Retail
irs  store,Government & Legal
centurylink usa,Utilities & Services
rite aid,Healthcare & Medical
credit store,Income
bonus store branch,Income
fulltime 8088,Income
mta store,Transportation
pure barre,Entertainment & Recreation
bank campus,Financial Services
emergency room usa,Healthcare & Medical
rite aid,Shopping & Retail
loan  store,Financial Services
bank store business district,Financial Services
gas company,Utilities & Services
psychiatrist,Healthcare & Medical
spectrum,Utilities & Services
payroll 7628,Income
pharmacy uk txn,Healthcare & Medical
bank of america  canada weekend,Financial Services
pharmacy center,Healthcare & Medical
soulcycle campus,Entertainment & Recreation
swimming pool,Entertainment & Recreation
bmo harris usa center,Financial Services
marshals store,Government & Legal
maven  station,Transportation
carls jr canada,Food & Dining
united way,Charity & Donations
walgreens,Healthcare & Medical
transfer,Financial Services
amazon prime australia shopping center,Entertainment & Recreation
fiber,Utilities & Services
lord taylor uk center,Shopping & Retail
mcdonalds night,Food & Dining
windstream  night,Utilities & Services
burger king  txn,Food & Dining
dunkin donuts ,Food & Dining
nature conservancy store,Charity & Donations
neiman marcus store lunch time,Shopping & Retail
overtime,Income
maven ,Transportation
specialist australia branch center mall,Healthcare & Medical
stock branch,Financial Services
lord taylor canada store center campus,Shopping & Retail
stock  india airport,Financial Services
electric company txn,Utilities & Services
digital bank store center,Financial Services
credit 2327 store night,Income
dunkin donuts canada store,Food & Dining
whataburger,Food & Dining
spca center evening,Charity & Donations
annuity 2640,Income
mt bank canada strip mall,Financial Services
marshals canada,Government & Legal
animal shelter ,Charity & Donations
eye care,Healthcare & Medical
marshals ,Government & Legal
local food bank ,Charity & Donations
chevron center,Transportation
bojangles,Food & Dining
mutual fund,Financial Services
federal building  store,Government & Legal
ulta,Shopping & Retail
rite aid  center,Healthcare & Medical
zoo canada,Entertainment & Recreation
credit,Income
offering ,Charity & Donations
office depot store,Shopping & Retail
commission 2470 shopping center,Income
first national,Financial Services
five guys  india,Food & Dining
barneys new york usa,Shopping & Retail
credit india,Income
amc india txn,Entertainment & Recreation
spectrum usa,Utilities & Services
overtime rush hour,Income
dsl ,Utilities & Services
franchise 7845,Income
popeyes,Food & Dining
occupational therapy night,Healthcare & Medical
golds gym  uk lunch time,Entertainment & Recreation
parttime usa,Income
greenpeace  canada store center lunch time,Charity & Donations
google fiber,Utilities & Services
investment bank  store morning,Financial Services
highway patrol center,Government & Legal
safeway,Food & Dining
suntrust,Financial Services
zara,Shopping & Retail
municipal building usa store,Government & Legal
turo,Transportation
saks fifth avenue,Shopping & Retail
brokerage,Financial Services
directv,Utilities & Services
salvation army branch,Charity & Donations
mt bank  weekend,Financial Services
service campus,Government & Legal
popeyes rush hour,Food & Dining
viasat,Utilities & Services
office depot weekend,Shopping & Retail
community center airport,Charity & Donations
gofundme  holiday,Charity & Donations
nordstrom rack canada,Shopping & Retail
marshalls branch morning,Shopping & Retail
american airlines  canada,Transportation
atf,Government & Legal
banking  store,Financial Services
zoo ,Entertainment & Recreation
alamo,Transportation
maternity leave,Income
sick pay 7844,Income
parttime branch,Income
hawaiian airlines ,Transportation
emergency room  uk,Healthcare & Medical
dominos  shopping center,Food & Dining
county clerk,Government & Legal
rite aid uk,Healthcare & Medical
chiropractor  canada txn,Healthcare & Medical
religious organization,Charity & Donations
orange theory,Entertainment & Recreation
cleveland clinic,Healthcare & Medical
sephora,Shopping & Retail
goodwill airport,Charity & Donations
santander,Financial Services
psychiatrist  store,Healthcare & Medical
regions bank,Financial Services
cardiologist,Healthcare & Medical
olive garden,Food & Dining
blood test,Healthcare & Medical
anytime fitness ,Entertainment & Recreation
laser tag ,Entertainment & Recreation
dividend 6969,Income
royalty 9776 rush hour,Income
gig work 3000 rush hour,Income
enterprise,Transportation
bbt center,Financial Services
neiman marcus evening,Shopping & Retail
surgery txn,Healthcare & Medical
xfinity weekend,Utilities & Services
clinic,Healthcare & Medical
surgery ,Healthcare & Medical
dollar tree  usa txn,Shopping & Retail
blood test ,Healthcare & Medical
homeless shelter ,Charity & Donations
rcn,Utilities & Services
urgent care,Healthcare & Medical
burger king  india,Food & Dining
staples ,Shopping & Retail
enterprise,Transportation
bloomingdales  store,Shopping & Retail
firehouse subs,Food & Dining
credit union india lunch time,Financial Services
zaxbys store txn,Food & Dining
pharmacy hospital,Healthcare & Medical
psychiatrist evening,Healthcare & Medical
burlington ,Shopping & Retail
peter pan  residential,Transportation
mount sinai,Healthcare & Medical
keybank,Financial Services
safeway pharmacy uk center,Healthcare & Medical
zara  usa weekday,Shopping & Retail
first national australia strip mall,Financial Services
cable one afternoon,Utilities & Services
unemployment,Income
wow australia,Utilities & Services
ngo airport,Charity & Donations
delta  night,Transportation
temple ,Charity & Donations
gym,Entertainment & Recreation
popeyes ,Food & Dining
crunch fitness ,Entertainment & Recreation
stock,Financial Services
uber,Transportation
mass general  dinner time,Healthcare & Medical
social security,Income
national  uk,Transportation
suddenlink,Utilities & Services
reward uk,Income
income,Income
charter canada,Utilities & Services
doctors without borders ,Charity & Donations
whole foods weekend,Food & Dining
tim hortons usa,Food & Dining
dividend,Income
zaxbys  store,Food & Dining
church ,Charity & Donations
belk,Shopping & Retail
bloomingdales,Shopping & Retail
sephora  afternoon,Shopping & Retail
tax branch txn,Government & Legal
police department  india,Government & Legal
zipcar hospital,Transportation
gig work 7208,Income
subway branch,Food & Dining
marta,Transportation
dsl,Utilities & Services
escape room txn,Entertainment & Recreation
contract work 9210,Income
taco bell,Food & Dining
government store center,Government & Legal
pediatrician night,Healthcare & Medical
uniqlo dinner time,Shopping & Retail
aspca,Charity & Donations
municipal building weekday,Government & Legal
sick pay uk store,Income
broadband store,Utilities & Services
fair,Entertainment & Recreation
dunkin donuts india center,Food & Dining
cinemark store,Entertainment & Recreation
legal ,Government & Legal
rcn india,Utilities & Services
pilates store,Entertainment & Recreation
ems,Government & Legal
capital one  uk store hospital,Financial Services
safeway lunch time,Food & Dining
sprint  txn,Utilities & Services
raising canes txn,Food & Dining
ski resort,Entertainment & Recreation
chickfila,Food & Dining
hulu store txn,Entertainment & Recreation
charter center,Utilities & Services
peta usa,Charity & Donations
county clerk  store,Government & Legal
alamo  store,Transportation
uber,Transportation
rcn  uk store,Utilities & Services
freelance 5745 uk residential,Income
festival,Entertainment & Recreation
dermatologist,Healthcare & Medical
stanford health,Healthcare & Medical
mbta ,Transportation
social security,Government & Legal
walmart pharmacy branch morning,Healthcare & Medical
windstream  mall,Utilities & Services
yoga studio ,Entertainment & Recreation
ucsf medical  store,Healthcare & Medical
water park store branch,Entertainment & Recreation
train  store,Transportation
retirement,Financial Services
rite aid,Shopping & Retail
ucla medical,Healthcare & Medical
fedex office store txn,Shopping & Retail
wendys uk,Food & Dining
exxon ,Transportation
panda express weekday,Food & Dining
unemployment branch,Income
anytime fitness  australia,Entertainment & Recreation
shell mall,Transportation
spectrum txn,Utilities & Services
irs shopping center,Government & Legal
wendys store,Food & Dining
directv canada,Utilities & Services
saks off th,Shopping & Retail
carls jr  australia,Food & Dining
innout weekend,Food & Dining
contract work 6539 night,Income
atf ,Government & Legal
spotify  australia,Entertainment & Recreation
amazon,Shopping & Retail
investment india,Financial Services
mosque airport,Charity & Donations
ambulance,Government & Legal
highway patrol center,Government & Legal
parttime lunch time,Income
state police,Government & Legal
tim hortons,Food & Dining
brokerage uk,Financial Services
septa morning,Transportation
subway,Food & Dining
rental income 7002 australia afternoon,Income
amazon,Shopping & Retail
dmv,Government & Legal
donation,Charity & Donations
chevron ,Transportation
tennis court store rush hour,Entertainment & Recreation
homeless shelter usa txn,Charity & Donations
office depot,Shopping & Retail
veterans organization,Charity & Donations
carnival,Entertainment & Recreation
reward branch,Income
royalty store strip mall,Income
la fitness center,Entertainment & Recreation
zipcar,Transportation
dermatologist store airport,Healthcare & Medical
license ,Government & Legal
wage 1984,Income
hsbc australia,Financial Services
business wifi uk,Utilities & Services
speech therapy,Healthcare & Medical
exxon,Transportation
permit  weekend,Government & Legal
staples  india,Shopping & Retail
irs branch,Government & Legal
swimming pool australia strip mall,Entertainment & Recreation
humane society rush hour,Charity & Donations
legal canada,Government & Legal
hughesnet,Utilities & Services
ucsf medical india mall,Healthcare & Medical
bbt,Financial Services
greyhound morning,Transportation
border patrol  australia business district,Government & Legal
gas company india,Utilities & Services
business wifi  canada,Utilities & Services
ski resort  branch txn,Entertainment & Recreation
frontier  usa,Transportation
home depot ,Shopping & Retail
spotify weekend,Entertainment & Recreation
dental center strip mall,Healthcare & Medical
trampoline park usa,Entertainment & Recreation
atlantic broadband ,Utilities & Services
business wifi store center,Utilities & Services
fifth third ,Financial Services
local church store,Charity & Donations
habitat for humanity australia,Charity & Donations
local church lunch time,Charity & Donations
pharmacy  usa,Healthcare & Medical
cvs  uk,Healthcare & Medical
pnc bank,Financial Services
financial advisor afternoon,Financial Services
synagogue store holiday,Charity & Donations
mta ,Transportation
mass general ,Healthcare & Medical
cable internet,Utilities & Services
uniqlo ,Shopping & Retail
post office store txn,Shopping & Retail
bank evening,Financial Services
cox,Utilities & Services
wendys,Food & Dining
wmata canada store holiday,Transportation
bmo harris center,Financial Services
goodwill  india center weekday,Charity & Donations
culvers ,Food & Dining
dollar general ,Shopping & Retail
uniqlo india,Shopping & Retail
bank of america,Financial Services
reward,Income
von maur weekend,Shopping & Retail
amazon prime,Entertainment & Recreation
concert branch,Entertainment & Recreation
dollar tree,Shopping & Retail
fbi  usa afternoon,Government & Legal
 hour fitness,Entertainment & Recreation
jersey mikes  center,Food & Dining
pilates afternoon,Entertainment & Recreation
hughesnet,Utilities & Services
service,Government & Legal
cox  store,Utilities & Services
county clerk,Government & Legal
chevron,Transportation
shell  australia,Transportation
chiropractor  weekday,Healthcare & Medical
us bank,Financial Services
mobile hotspot ,Utilities & Services
train store txn,Transportation
subway  india store,Food & Dining
cvs,Healthcare & Medical
temple australia txn,Charity & Donations
psychiatrist canada,Healthcare & Medical
rite aid india,Shopping & Retail
alaska airlines,Transportation
accounting  store hospital,Financial Services
gas company usa,Utilities & Services
five guys  afternoon,Food & Dining
theme park  rush hour,Entertainment & Recreation
pension 5498,Income
wealth management ,Financial Services
spotify ,Entertainment & Recreation
subway australia store,Food & Dining
exxon ,Transportation
taco bell usa,Food & Dining
rock climbing canada,Entertainment & Recreation
peter pan  australia txn,Transportation
capital gains india,Income
burlington store,Shopping & Retail
customs weekend,Government & Legal
aspca,Charity & Donations
barneys new york residential,Shopping & Retail
offering,Charity & Donations
water park usa,Entertainment & Recreation
jersey mikes,Food & Dining
santander ,Financial Services
interest,Income
fifth third ,Financial Services
cia uk mall,Government & Legal
unemployment 1108,Income
southwest airlines  branch hospital,Transportation
wifi,Utilities & Services
von maur,Shopping & Retail
medicare branch center station,Government & Legal
neurologist,Healthcare & Medical
banking,Financial Services
rite aid,Healthcare & Medical
macys,Shopping & Retail
capital gains 5069 canada,Income
surgery canada,Healthcare & Medical
oxfam store branch,Charity & Donations
ngo  canada store shopping center,Charity & Donations
safeway pharmacy ,Healthcare & Medical
comerica store dinner time,Financial Services
transfer store center,Financial Services
parking,Transportation
enterprise  store afternoon,Transportation
passport,Government & Legal
local food bank ,Charity & Donations
festival,Entertainment & Recreation
paramedic  store,Government & Legal
apple store  australia branch txn,Shopping & Retail
passport,Government & Legal
shake shack ,Food & Dining
county clerk ,Government & Legal
gofundme,Charity & Donations
cinema residential,Entertainment & Recreation
mosque,Charity & Donations
rcn,Utilities & Services
transfer store,Financial Services
clinic evening,Healthcare & Medical
lord taylor  center,Shopping & Retail
verizon  canada store,Utilities & Services
world vision store,Charity & Donations
refund 2228,Income
first national center,Financial Services
greenpeace downtown,Charity & Donations
cable company canada,Utilities & Services
golds gym,Entertainment & Recreation
charity,Charity & Donations
disney+,Entertainment & Recreation
thrifty,Transportation
salary uk,Income
fulltime 4397,Income
staples india,Shopping & Retail
starbucks uk store,Food & Dining
netflix uk,Entertainment & Recreation
huntington bank,Financial Services
retirement airport,Financial Services
ngo ,Charity & Donations
kaiser permanente morning,Healthcare & Medical
overtime,Income
charity  txn,Charity & Donations
checkers,Food & Dining
dmv ,Government & Legal
holiday pay 3845 canada evening,Income
kroger pharmacy,Healthcare & Medical
regions bank txn,Financial Services
dish,Utilities & Services
xfinity  branch,Utilities & Services
blood test,Healthcare & Medical
unemployment 5987 australia mall,Income
white house,Government & Legal
childrens hospital canada,Healthcare & Medical
walgreens  india,Healthcare & Medical
pnc bank residential,Financial Services
cardiologist usa,Healthcare & Medical
gofundme ,Charity & Donations
sheriff uk store mall,Government & Legal
spirit canada lunch time,Transportation
bmo harris  night,Financial Services
cta,Transportation
google fiber ,Utilities & Services
fulltime,Income
bank  rush hour,Financial Services
lord taylor,Shopping & Retail
pension branch strip mall,Income
equinox,Entertainment & Recreation
water company  store,Utilities & Services
emergency room business district,Healthcare & Medical
hardees  store,Food & Dining
bart  australia,Transportation
city hall canada,Government & Legal
barnes noble txn,Shopping & Retail
panera bread ,Food & Dining
payroll txn572216,Income
greenpeace  india,Charity & Donations
city hall ,Government & Legal
highway patrol dinner time,Government & Legal
theater,Entertainment & Recreation
county clerk uk station,Government & Legal
investment bank canada,Financial Services
freelance 6751 business district,Income
subway,Food & Dining
stock  business district,Financial Services
baskinrobbins,Food & Dining
